Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0025352	4697	1782	2060	3457	1641	2088	2366	2785	2935	1763	2295	2559	2450.54	2695	2206	0.812	-0.301	-3.471	0.000517954717150577	0.00480304841552923	0.0039	0.0056	0.005	0.005	TRUE	NA
FBgn0005617	3216	910	921	2408	831	923	1620	1422	1312	1228	1162	1131	1312.63	1451	1174	0.809	-0.307	-3.455	0.000550602972486866	0.00508467894964604	0.0014	0.0065	0.0048	0.0048	TRUE	NA
FBgn0261599	69038	11440	13882	53690	12006	12509	34772	17879	19780	27379	16792	15332	21989.01	24144	19834	0.83	-0.268	-3.454	0.000552376535408781	0.00509578766652936	0.0037	0.0047	0.0043	0.0043	TRUE	NA
FBgn0262114	6068	2184	2170	4818	1967	2247	3056	3413	3092	2457	2751	2754	2920.6	3187	2654	0.831	-0.266	-3.436	0.00059065841488124	0.00542094516432628	0.0015	0.0054	0.004	0.004	TRUE	NA
FBgn0259736	561	201	184	369	145	174	283	314	262	188	203	213	243.85	286	201	0.701	-0.513	-3.432	0.000599226082252895	0.00549393112373548	0	0.0152	0.0117	0.0117	TRUE	NA
FBgn0002773	100	31	56	48	13	26	50	48	80	24	18	32	42.19	59	25	0.426	-1.23	-3.431	0.000601157738145541	0.00550034692790951	0.0551	0.0664	0.0639	0.0639	TRUE	NA
FBgn0014417	2863	897	1000	2159	848	981	1442	1402	1425	1101	1186	1202	1293.03	1423	1163	0.815	-0.296	-3.431	0.000601023852488446	0.00550034692790951	0	0.0066	0.0045	0.0045	TRUE	NA
FBgn0050344	1344	451	517	1105	367	456	677	705	737	563	513	559	625.69	706	545	0.776	-0.366	-3.431	0.000602001906488433	0.00550243298356367	0	0.0087	0.0065	0.0065	TRUE	NA
FBgn0041183	364	115	127	244	82	97	183	180	181	124	115	119	150.34	181	119	0.66	-0.599	-3.429	0.000606544060459733	0.00553262355455099	0	0.0219	0.0148	0.0148	TRUE	NA
FBgn0261041	3361	1034	1116	2509	1022	1003	1693	1616	1590	1279	1429	1229	1472.86	1633	1312	0.802	-0.318	-3.428	0.000609062175242932	0.00554992369889733	0.0036	0.0063	0.0055	0.0055	TRUE	NA
FBgn0024248	2235	609	607	1853	512	545	1126	952	865	945	716	668	878.56	981	776	0.79	-0.34	-3.421	0.000623580514304427	0.00567642608841848	0.0019	0.0075	0.0058	0.0058	TRUE	NA
