Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0015371	1012	349	295	487	180	180	510	545	420	248	252	221	366.03	492	240	0.489	-1.033	-6.303	2.91936948936011e-10	2.01572279393259e-08	0.0081	0.0214	0.0161	0.0161	TRUE	0.1752
FBgn0053516	1880	602	552	963	361	405	947	941	787	491	505	496	694.44	892	497	0.557	-0.845	-6.256	3.94337151661743e-10	2.6408729397377e-08	0.0043	0.0174	0.0115	0.0115	TRUE	0.1216
FBgn0262579	13804	4565	4413	8543	3129	3489	6953	7134	6288	4356	4376	4276	5564.02	6792	4336	0.638	-0.647	-6.253	4.01837145180996e-10	2.67101750158741e-08	0.0019	0.0134	0.0075	0.0075	TRUE	0.0509
FBgn0034638	3781	1358	1668	2114	822	1068	1904	2122	2377	1078	1150	1309	1656.69	2134	1179	0.552	-0.856	-6.244	4.27856899842825e-10	2.82290474585188e-08	0.0102	0.0147	0.0129	0.0129	TRUE	0.1193
FBgn0036732	6052	2086	2079	3795	1403	1646	3048	3260	2962	1935	1962	2017	2530.93	3090	1971	0.638	-0.648	-6.226	4.79863203323475e-10	3.11981135182642e-08	8e-04	0.0141	0.0074	0.0074	TRUE	0.0273
FBgn0039809	1476	453	568	874	241	319	743	708	809	446	337	391	572.41	753	391	0.522	-0.937	-6.15	7.75223159841318e-10	4.8626145666948e-08	0.0091	0.0183	0.0147	0.0147	TRUE	0.1863
FBgn0004893	1127	425	410	633	233	281	568	664	584	323	326	344	468.19	605	331	0.548	-0.868	-6.126	9.0181525822033e-10	5.6171108426353e-08	0.0026	0.0196	0.012	0.012	TRUE	0.0805
FBgn0035344	213	78	74	59	30	27	107	122	105	30	42	33	73.29	111	35	0.309	-1.696	-6.08	1.20419008573403e-09	7.44841742613402e-08	0	0.0558	0.0369	0.0369	TRUE	0.173
FBgn0035147	39912	16882	20966	17919	9336	10829	20102	26383	29874	9138	13058	13273	18638.08	25453	11823	0.464	-1.106	-6.075	1.23836439902607e-09	7.60697358767256e-08	0.0382	0.013	0.0238	0.0238	TRUE	0.271
FBgn0045852	5575	1761	1751	3030	1275	1296	2808	2752	2495	1545	1783	1588	2161.99	2685	1639	0.609	-0.715	-6.062	1.34042211778376e-09	8.12186381163262e-08	0.0042	0.0143	0.0095	0.0095	TRUE	0.0701
FBgn0261808	1070	312	371	569	183	241	539	488	529	290	256	295	399.44	519	280	0.542	-0.885	-6.057	1.38959961957757e-09	8.30682135005193e-08	0.0011	0.0207	0.0125	0.0125	TRUE	0.0578
FBgn0039714	5090	1864	2171	3380	1267	1427	2564	2913	3093	1724	1772	1749	2302.49	2857	1748	0.613	-0.707	-6.027	1.66839152021696e-09	9.9069088470483e-08	0.0045	0.0142	0.0094	0.0094	TRUE	0.1009
FBgn0043364	4460	906	977	1689	412	514	2246	1416	1392	861	576	630	1186.99	1685	689	0.409	-1.288	-6.018	1.76916360462498e-09	1.04357220042349e-07	0.0643	0.0155	0.0319	0.0319	TRUE	1.0421
FBgn0085376	886	328	294	497	163	186	446	513	419	253	228	228	347.86	459	236	0.518	-0.949	-5.998	1.99178367282401e-09	1.15200111518464e-07	0.0044	0.0219	0.0147	0.0147	TRUE	0.1087
FBgn0036181	546	185	186	271	100	102	275	289	265	138	140	125	205.37	276	134	0.487	-1.037	-5.946	2.74164567247105e-09	1.56537423107049e-07	0	0.0282	0.0162	0.0162	TRUE	0.0337
FBgn0037635	487	162	186	248	80	101	245	253	265	126	112	124	187.61	254	121	0.478	-1.065	-5.907	3.476072153441e-09	1.97206208093624e-07	0	0.0296	0.0171	0.0171	TRUE	0.0348
FBgn0051038	1618	693	636	799	383	404	815	1083	906	407	536	495	707.08	935	479	0.512	-0.966	-5.847	5.01078947205405e-09	2.80698753632613e-07	0.0176	0.0173	0.018	0.018	TRUE	0.225
FBgn0052681	413	136	159	203	69	79	208	213	227	104	97	97	157.33	216	99	0.462	-1.114	-5.821	5.83809348234215e-09	3.20987028686553e-07	0	0.0329	0.0188	0.0188	TRUE	0.021
FBgn0029766	48013	16585	18439	24519	10896	13816	24183	25919	26274	12503	15240	16934	20175.41	25459	14892	0.585	-0.774	-5.794	6.85907276613177e-09	3.74808350478133e-07	0.0122	0.013	0.0128	0.0128	TRUE	0.2419
FBgn0259699	582	198	200	262	120	110	293	309	285	134	168	135	220.64	296	146	0.488	-1.035	-5.784	7.31361845738314e-09	3.92424093975371e-07	0.0014	0.0271	0.0177	0.0177	TRUE	0.1645
FBgn0026721	8764	3239	4056	4820	2218	2448	4414	5062	5779	2458	3102	3000	3969.34	5085	2853	0.561	-0.834	-5.738	9.59041646002328e-09	5.0846332981802e-07	0.016	0.0136	0.0149	0.0149	TRUE	0.1347
FBgn0029092	20144	6003	7029	13530	4611	5438	10146	9382	10016	6899	6449	6665	8259.49	9848	6671	0.677	-0.562	-5.698	1.21389817641174e-08	6.3601123866467e-07	0.0012	0.0132	0.0069	0.0069	TRUE	0.0208
FBgn0022160	3028	1336	1372	1347	718	827	1525	2088	1955	687	1004	1014	1378.79	1856	902	0.485	-1.044	-5.691	1.26065706957263e-08	6.52829797597871e-07	0.036	0.0151	0.0234	0.0234	TRUE	0.5403
FBgn0259714	359	111	120	164	52	57	181	173	171	84	73	70	125.25	175	76	0.435	-1.202	-5.646	1.64229668280085e-08	8.35882088783269e-07	0	0.038	0.023	0.023	TRUE	0.1138
FBgn0031547	490	176	260	285	80	98	247	275	370	145	112	120	211.61	297	126	0.429	-1.22	-5.6	2.14679974935738e-08	1.08645144133672e-06	0.0291	0.0277	0.0283	0.0283	TRUE	0.5023
FBgn0038381	427	152	191	223	80	95	215	238	272	114	112	116	177.8	242	114	0.475	-1.075	-5.583	2.36671460590522e-08	1.19097892625976e-06	0	0.0306	0.02	0.02	TRUE	0.1315
FBgn0034476	429	159	151	223	75	84	216	248	215	114	105	103	166.88	226	107	0.477	-1.067	-5.572	2.51191625838561e-08	1.25694596142925e-06	0	0.0317	0.0193	0.0193	TRUE	0.0695
FBgn0037683	3255	1078	1581	1857	686	919	1639	1685	2253	947	959	1126	1434.96	1859	1011	0.544	-0.878	-5.566	2.59940806271353e-08	1.28627375636608e-06	0.0207	0.015	0.0171	0.0171	TRUE	0.4108
FBgn0263041	221	78	119	92	33	39	111	122	170	47	46	48	90.61	134	47	0.353	-1.503	-5.567	2.59697490943876e-08	1.28627375636608e-06	0.0226	0.0476	0.0378	0.0378	TRUE	0.5048
FBgn0020257	2647	902	871	1737	575	647	1333	1410	1241	886	804	793	1077.83	1328	828	0.625	-0.679	-5.556	2.75323990121885e-08	1.35486783426278e-06	0.0029	0.0158	0.0097	0.0097	TRUE	0.0481
FBgn0038237	134	37	24	20	5	6	67	58	34	10	7	7	30.68	53	8	0.158	-2.661	-5.553	2.80256606943372e-08	1.37156351540913e-06	0	0.1155	0.0989	0.0989	TRUE	0.2329
FBgn0031374	4401	1773	1584	2758	1106	1157	2217	2771	2257	1406	1547	1418	1936	2415	1457	0.604	-0.728	-5.549	2.86949128857217e-08	1.39099593571699e-06	0.0088	0.0145	0.0118	0.0118	TRUE	0.1985
FBgn0013811	791	335	340	401	181	208	398	524	484	204	253	255	353.17	469	237	0.506	-0.983	-5.545	2.93731887181988e-08	1.40659673071504e-06	0.0159	0.0218	0.0193	0.0193	TRUE	0.2215
