Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0010097	129	47	56	250	109	160	65	73	80	127	152	196	115.71	73	158	2.188	1.129	4.499	6.83500130160809e-06	0.000207072641474229	0.0262	0.0401	0.0346	0.0346	TRUE	0.2248
FBgn0087007	198	64	77	357	139	157	100	100	110	182	194	192	146.39	103	189	1.84	0.88	4.496	6.93703877655642e-06	0.000209451540280637	0	0.0344	0.0196	0.0196	TRUE	0.0257
FBgn0261278	2240	712	861	3179	1166	1329	1128	1113	1227	1621	1631	1629	1391.44	1156	1627	1.408	0.494	4.493	7.01014254713853e-06	0.000210943715092442	1e-04	0.0151	0.0079	0.0079	TRUE	0.0331
FBgn0031888	4553	1570	1714	6350	2295	2819	2293	2454	2442	3238	3210	3455	2848.72	2396	3301	1.378	0.463	4.465	8.01046240584802e-06	0.000239920243835364	0.0012	0.0139	0.0074	0.0074	TRUE	0.0201
FBgn0001124	1824	695	789	2784	1197	1380	919	1086	1124	1420	1674	1691	1319.07	1043	1595	1.531	0.615	4.454	8.43018926379875e-06	0.000251129417299851	0.01	0.0152	0.0129	0.0129	TRUE	0.1386
FBgn0263916	3341	1023	1210	4251	1783	2179	1683	1599	1724	2168	2494	2671	2056.33	1669	2444	1.463	0.549	4.451	8.53079594699052e-06	0.000253279331666149	0.0054	0.0144	0.0104	0.0104	TRUE	0.1221
FBgn0010470	7795	2677	3146	10779	4299	5032	3926	4184	4483	5497	6013	6168	5044.93	4198	5893	1.404	0.49	4.418	9.96394583538309e-06	0.00029484672942112	0.0037	0.0135	0.0086	0.0086	TRUE	0.043
FBgn0050035	1994	766	773	2853	1276	1422	1004	1197	1101	1455	1785	1743	1380.89	1101	1661	1.509	0.594	4.357	1.31599124850742e-05	0.0003781140016276	0.0095	0.0151	0.0126	0.0126	TRUE	0.147
FBgn0032420	198	59	69	384	113	153	100	92	98	196	158	188	138.61	97	181	1.869	0.902	4.351	1.35438902221397e-05	0.000387895273982632	0	0.0356	0.0226	0.0226	TRUE	0.1136
FBgn0035623	495	164	199	835	288	328	249	256	284	426	403	402	336.63	263	410	1.568	0.649	4.336	1.45414931411277e-05	0.000413805365520846	0	0.0222	0.0128	0.0128	TRUE	0.0485
FBgn0039844	827	320	296	1497	465	536	417	500	422	763	650	657	568.19	446	690	1.557	0.639	4.327	1.50887695540448e-05	0.000426652921961516	0.0076	0.0184	0.0137	0.0137	TRUE	0.1204
FBgn0001257	18663	5109	5304	23630	8163	10000	9400	7984	7558	12050	11417	12257	10110.99	8314	11908	1.432	0.518	4.322	1.54666780637838e-05	0.00043595475162697	0.0072	0.0132	0.0102	0.0102	TRUE	0.1608
FBgn0010894	271	74	78	589	152	164	136	116	111	300	213	201	179.54	121	238	1.964	0.974	4.318	1.57261443329053e-05	0.000441869929252958	0.0293	0.0304	0.03	0.03	TRUE	0.642
FBgn0020255	10052	3316	4060	13941	5452	5966	5063	5182	5785	7109	7625	7312	6346.2	5343	7349	1.376	0.46	4.308	1.64758558994368e-05	0.000455746734460507	0.003	0.0133	0.008	0.008	TRUE	0.0634
FBgn0034067	170	70	80	334	145	174	86	109	114	170	203	213	149.23	103	195	1.917	0.939	4.305	1.66630942604844e-05	0.000459499011077817	0.0146	0.034	0.0262	0.0262	TRUE	0.2922
FBgn0003447	44	15	23	149	44	57	22	23	33	76	62	70	47.63	26	69	2.719	1.443	4.294	1.75722394966818e-05	0.000477182735356539	0	0.079	0.0533	0.0533	TRUE	0.2367
FBgn0025678	15340	5626	6633	22179	9347	10838	7726	8792	9451	11310	13073	13284	10606.19	8656	12556	1.451	0.537	4.295	1.74697572013478e-05	0.000477182735356539	0.0086	0.0131	0.0111	0.0111	TRUE	0.109
FBgn0267727	9359	3196	3453	12065	4968	5712	4714	4995	4920	6152	6949	7001	5788.46	4876	6701	1.374	0.458	4.294	1.75606550773489e-05	0.000477182735356539	0.0027	0.0134	0.008	0.008	TRUE	0.0633
FBgn0014869	2450	844	986	3311	1595	1718	1234	1319	1405	1688	2231	2106	1663.82	1319	2008	1.521	0.605	4.288	1.80432631432003e-05	0.000488484330749194	0.0112	0.0147	0.0137	0.0137	TRUE	0.2415
FBgn0010314	520	165	177	964	302	294	262	258	252	492	422	360	341.05	257	425	1.657	0.728	4.285	1.82795668748e-05	0.000493382127738921	0.0113	0.0221	0.0174	0.0174	TRUE	0.1497
FBgn0063667	8	1	4	42	20	25	4	2	6	21	28	31	15.22	4	27	6.838	2.774	4.281	1.85734017932672e-05	0.000498293041483829	0	0.2198	0.1525	0.1525	TRUE	0.2804
FBgn0086355	5603	2302	2412	8128	4324	5011	2822	3598	3437	4145	6048	6142	4365.16	3286	5445	1.657	0.729	4.261	2.03480132089609e-05	0.000542633992970703	0.0288	0.0136	0.0208	0.0208	TRUE	0.5363
FBgn0027597	632	207	259	944	380	445	318	324	369	481	531	545	428.19	337	519	1.542	0.625	4.259	2.05486276513574e-05	0.000544722102650716	0.0035	0.0202	0.0129	0.0129	TRUE	0.074
FBgn0026189	20973	7030	6719	29758	10308	10950	10563	10987	9574	15175	14417	13421	12356.2	10375	14338	1.382	0.467	4.242	2.2110711962309e-05	0.000582663051622149	0.0042	0.0131	0.0086	0.0086	TRUE	0.0554
FBgn0030318	4081	1239	1397	5029	2116	2269	2055	1936	1991	2564	2960	2781	2381.25	1994	2768	1.386	0.471	4.239	2.24579923986341e-05	0.000588333347925394	0.0028	0.0142	0.0084	0.0084	TRUE	0.0517
FBgn0000299	78942	30342	28668	108092	53221	52021	39760	47419	40849	55120	74438	63762	53557.98	42676	64440	1.51	0.595	4.236	2.27756955178414e-05	0.000593167017477816	0.016	0.0129	0.0142	0.0142	TRUE	0.17
FBgn0015777	1895	608	594	2808	894	1046	954	950	846	1432	1250	1282	1119.23	917	1321	1.442	0.528	4.228	2.36244411820464e-05	0.000611694469792115	0.0041	0.0157	0.0102	0.0102	TRUE	0.067
FBgn0033368	107	24	30	189	76	86	54	38	43	96	106	105	73.71	45	102	2.228	1.156	4.213	2.52194998177256e-05	0.00065110169529415	0	0.0556	0.0375	0.0375	TRUE	0.3664
FBgn0259111	3833	1527	1465	5545	2337	2622	1931	2386	2087	2828	3269	3214	2619.08	2135	3104	1.455	0.541	4.211	2.54393264735576e-05	0.000654878846531726	0.0083	0.014	0.0114	0.0114	TRUE	0.1272
FBgn0013765	4723	1550	1601	6758	2228	2535	2379	2422	2281	3446	3116	3107	2791.99	2361	3223	1.366	0.45	4.21	2.551866944891e-05	0.000655028209744787	0.002	0.014	0.0078	0.0078	TRUE	0.0456
FBgn0005660	357	147	138	591	250	290	180	230	197	301	350	355	268.78	202	335	1.669	0.739	4.2	2.67044964214116e-05	0.00068349698168251	0.0086	0.0246	0.018	0.018	TRUE	0.1424
FBgn0022702	330	180	180	691	352	413	166	281	256	352	492	506	342.48	234	450	1.934	0.952	4.169	3.06383570111872e-05	0.000770892220052668	0.0538	0.022	0.0339	0.0339	TRUE	0.8313
FBgn0037844	412	131	139	594	256	262	208	205	198	303	358	321	265.4	204	327	1.6	0.678	4.156	3.24016640860577e-05	0.000810678713523922	0	0.0247	0.0149	0.0149	TRUE	0.0722
FBgn0037678	27	16	9	76	52	51	14	25	13	39	73	63	37.57	17	58	3.447	1.785	4.146	3.37605122555374e-05	0.000842310595686475	0.084	0.0967	0.0923	0.0923	TRUE	0.3461
FBgn0000447	1045	322	410	1626	536	629	526	503	584	829	750	771	660.59	538	783	1.46	0.546	4.142	3.44241091546339e-05	0.000856467989498112	0.0023	0.0176	0.0108	0.0108	TRUE	0.0609
FBgn0036316	6132	2254	2642	9174	3468	4014	3088	3523	3765	4678	4851	4920	4137.38	3459	4816	1.394	0.479	4.125	3.70586287381158e-05	0.000919446256742054	0.0049	0.0136	0.0094	0.0094	TRUE	0.1094
FBgn0031461	921	311	314	1298	531	525	464	486	447	662	743	643	574.23	466	683	1.464	0.55	4.104	4.05930145742176e-05	0.00100155673355279	0.0017	0.0183	0.011	0.011	TRUE	0.0656
